Count,Date,Time,Growing Area,Growing Area Description,Station ID,Station Location,Lat,Long,Tide stage,Water Temp (°F),Cochlodinium polykrikoides (cells/L),Notes,LandLat,LandLong,SSTLat,SSTLong
41,3/19/2019,1030,5,Kickemuit,5K-1,Kickemuit River,41.70923,-71.25105,Ebb,40.1,0,,41.708894,-71.2543015,41.70923,-71.25105
42,4/2/2019,1243,1,Upper Bay A,1A-2,Upper Narragansett Bay GA 1 Barrington Beach,41.71474,-71.31858,Ebb,43.9,0,,41.714527,-71.30675027,41.71474,-71.31858
43,5/6/2019,1115,1,Upper Bay A,1A-2,Upper Narragansett Bay GA 1 Barrington Beach,41.71474,-71.31858,High,49.1,0,,41.714527,-71.30675027,41.71474,-71.31858
44,9/12/2019,,1,Upper Bay B,Red water patch,"Upper Bay, off Rocky Point",41.689463,-71.364701,,,"8,536,000",,41.689872,-71.36525529,41.689463,-71.364701
45,9/12/2019,,8,Greenwich Bay,Red water patch,"Greenwich Bay, Sally Rock",41.671215,-71.425735,,,"7,240,000",,41.670551,-71.42551023,41.671215,-71.425735
46,10/24/2019,946,13,Block Island,13-1,Block Island entrance channel Great Salt Pond,41.19526,-71.58760,Low,60.8,0,,41.196476,-71.58700927,41.19526,-71.58760
47,10/24/2019,,14,Offshore - BI,14WB-1,Block Island North Reef,41.24207,-71.57394,,,0,,41.228807,-71.57660989,41.24207,-71.57394
48,10/24/2019,,14,Offshore - BI,14WB-2,Offshore Block Island south west ,41.14435,-71.62280,,,0,,41.152995,-71.60906333,41.14435,-71.62280
52,8/17/2020,1137,1,Upper Bay B,1B-3,Upper Narragansett Bay GA1 North Patience Island,41.67159,-71.36161,Ebb,71.2,0,,41.674326,-71.37431684,41.67159,-71.36161
51,8/17/2020,1152,1,Upper Bay B,1B-2,Upper Narragansett Bay GA 1 Poppasquash Neck,41.66295,-71.32384,Ebb,71.3,0,,41.657505,-71.34029836,41.66295,-71.32384
50,8/17/2020,1222,1,Upper Bay A,1A-2,Upper Narragansett Bay GA 1 Barrington Beach,41.71474,-71.31858,Ebb,70.5,0,,41.714527,-71.30675027,41.71474,-71.31858
49,8/17/2020,,16,Providence River,16-2,Occupessatuxet Cove,41.7357,-71.3853,,,0,,41.736400,-71.38263849,41.73347714,-71.37260117
54,8/18/2020,,6,East Passage,6-11,Bact stn 6-11,41.5389,-71.3535,,,"760,000",,41.536635,-71.345089,41.5389,-71.3535
55,8/18/2020,,6,East Passage,6-13,near Halfway Rock. Bact stn 6-13,41.564204,-71.332572,,,"4,010,000",,41.581433,-71.32798097,41.564204,-71.332572
53,8/18/2020,,16,Providence River,16-Bullocks,Dock at Cove Haven in Bullock Cove,41.5829,-71.3173,,,"1,290,000",,41.583418,-71.3179506,41.5829,-71.3173
56,8/20/2020,,17,Mt. Hope Bay,17-18,East of Common Fence Pt,41.6556,-71.2191,,,"340,000",,41.655136,-71.22011636,41.6556,-71.2191
59,8/24/2020,1025,10,Pt. Judith Pond,10PJ-4,Jerusalem State Pier,41.38321,-71.51749,Flood,71.6,150,,41.383270,-71.51807571,41.38321,-71.51749
58,8/24/2020,1025,10,Pt. Judith Pond,10PP-3,Channel between Potters and Point Judith Ponds,41.38562,-71.52524,Flood,75.2,0,,41.358360,-71.64043,41.38562,-71.52524
57,8/24/2020,1100,11NG,Ninigret Pond,6,Ninigret Pond entrance channel,41.35445,-71.63838,Flood,69.8,0,,41.365190,-71.653653,41.35445,-71.63838
60,8/24/2020,1125,11QW,Quonnie/Winnie,11Q-4,Quonochontaug Pond at northwest entrance to breachway,41.33664,-71.72261,Flood,69.8,0,,41.336576,-71.7220958,41.33664,-71.72261
61,8/24/2020,1145,11QW,Winnapaug,11W-1,Weekapaug Breachway,41.32839,-71.76269,Flood,69.8,200,,41.328454,-71.76232114,41.32839,-71.76269
63,9/3/2020,939,8,Greenwich Bay,Red water patch,Buoy at Apponaug marina,41.689688,-71.44587,,,"330,000",,41.690206,-71.44710602,41.68485785,-71.44186591
62,9/3/2020,1200,1,Upper Bay A,CP,Buoy @ Conimicut Py,41.7178,-71.3553,,,"5,040,000",,41.717427,-71.35799806,41.71738925,-71.35349572
64,9/9/2020,1330,6,East Passage,6-8,"Potter Cove, Jamestown",41.513713,-71.363109,High,,"48,000",,41.513122,-71.36681836,41.513713,-71.363109
66,9/24/2020,1030,17,Mt. Hope Bay,TR,Taunton River monitoring buoy,41.702155,-71.188451,,,0,,41.708790,-71.19002472,41.702155,-71.188451
65,9/24/2020,1040,17,Mt. Hope Bay,CR,Cole River monitoring buoy,41.708099,-71.216501,,,0,,41.711363,-71.21349967,41.708099,-71.216501
69,1/22/2021,850,7,West Passage,7-WickYC,Wickford Shipyard dock,41.5705,-71.4454,Ebb,30,0,,41.570691,-71.44439789,41.5705,-71.4454
67,1/22/2021,923,10,Pt. Judith Pond,10PJ-4,Jerusalem State Pier,41.38321,-71.51749,Ebb,30,0,,41.383270,-71.51807571,41.38321,-71.51749
68,1/22/2021,945,10,Pt. Judith Pond,10PP-3,Channel between Potters and Point Judith Ponds,41.38562,-71.52524,Ebb,30,0,,41.358360,-71.64043,41.38562,-71.52524
70,7/21/2021,1200,1,Upper Bay B,1B-3,Upper Narragansett Bay GA1 North Patience Island,41.67159,-71.36161,Ebb,,0,,41.674326,-71.37431684,41.67159,-71.36161
75,12/17/2021,1120,11QW,Winnapaug,11W-1,Weekapaug Breachway,41.32839,-71.76269,Ebb,54,0,,41.328454,-71.76232114,41.32839,-71.76269
74,12/17/2021,1136,11QW,Quonnie/Winnie,11Q-4,Quonochontaug Pond at northwest entrance to breachway,41.33664,-71.72261,Ebb,52,0,,41.336576,-71.7220958,41.33664,-71.72261
73,12/17/2021,1150,11NG,Ninigret Pond,11N-1,Ninigret Pond entrance channel,41.35445,-71.63838,Ebb,54,0,,41.358360,-71.64043,41.35445,-71.63838
71,12/17/2021,1214,10,Pt. Judith Pond,10PJ-4,Jerusalem State Pier,41.38321,-71.51749,Low,54,0,,41.383270,-71.51807571,41.38321,-71.51749
72,12/17/2021,1223,10,Potter Pond,10PP-3,Channel between Potters and Point Judith Ponds,41.38562,-71.52524,Low,54,0,,41.358360,-71.64043,41.38562,-71.52524
80,1/14/2022,955,10,Potter Pond,10PP-3,Channel between Potters and Point Judith Ponds,41.38562,-71.52524,Ebb,43,0,,41.358360,-71.64043,41.38562,-71.52524
79,1/14/2022,1005,10,Pt. Judith Pond,10PJ-4,Jerusalem State Pier,41.38321,-71.51749,Ebb,43,0,,41.383270,-71.51807571,41.38321,-71.51749
76,1/14/2022,1045,11QW,Winnapaug,11W-1,Weekapaug Breachway,41.32839,-71.76269,Ebb,46,0,,41.328454,-71.76232114,41.32839,-71.76269
77,1/14/2022,1057,11QW,Quonnie/Winnie,11Q-4,Quonochontaug Pond at northwest entrance to breachway,41.33664,-71.72261,Ebb,44,0,,41.336576,-71.7220958,41.33664,-71.72261
78,1/14/2022,1118,11NG,Ninigret Pond,11N-1,Ninigret Pond entrance channel,41.35445,-71.63838,Ebb,44,0,,41.358360,-71.64043,41.35445,-71.63838
81,3/4/2022,942,10,Pt. Judith Pond,10PJ-4,Jerusalem State Pier,41.38321,-71.51749,High,42,0,,41.383270,-71.51807571,41.38321,-71.51749
82,3/4/2022,950,10,Potter Pond,10PP-3,Channel between Potters and Point Judith Ponds,41.38562,-71.52524,Flood,42,0,,41.358360,-71.64043,41.38562,-71.52524
83,3/4/2022,1011,11QW,Winnapaug,11W-1,Weekapaug Breachway,41.32839,-71.76269,Flood,44,0,,41.328454,-71.76232114,41.32839,-71.76269
84,3/4/2022,1026,11QW,Quonnie/Winnie,11Q-4,Quonochontaug Pond at northwest entrance to breachway,41.33664,-71.72261,High,44,0,,41.336576,-71.7220958,41.33664,-71.72261
85,3/4/2022,1106,11NG,Ninigret Pond,11N-1,Ninigret Pond entrance channel,41.35445,-71.63838,Flood,44,0,,41.358360,-71.64043,41.35445,-71.63838
88,4/8/2022,922,11QW,Winnapaug,11W-1,Weekapaug Breachway,41.32839,-71.76269,High,47,0,,41.328454,-71.76232114,41.32839,-71.76269
89,4/8/2022,940,11QW,Quonnie/Winnie,11Q-4,Quonochontaug Pond at northwest entrance to breachway,41.33664,-71.72261,High,47,0,,41.336576,-71.7220958,41.33664,-71.72261
90,4/8/2022,1008,11NG,Ninigret Pond,11N-1,Ninigret Pond entrance channel,41.35445,-71.63838,High,46,0,,41.358360,-71.64043,41.35445,-71.63838
86,4/8/2022,1035,10,Pt. Judith Pond,10PJ-4,Jerusalem State Pier,41.38321,-71.51749,High,46,0,,41.383270,-71.51807571,41.38321,-71.51749
87,4/8/2022,1044,10,Potter Pond,10PP-3,Channel between Potters and Point Judith Ponds,41.38562,-71.52524,Ebb,46,0,,41.358360,-71.64043,41.38562,-71.52524
91,4/19/2022,750,7,West Passage,7-WickYC,Wickford Shipyard dock,41.5705,-71.4454,High,48,0,,41.570691,-71.44439789,41.5705,-71.4454
92,4/19/2022,810,8,Greenwich Bay,8-Chepi,S side Chepiwanoxet,41.67236,-71.441734,High,48,0,,41.672881,-71.441734,41.67236,-71.441734
94,4/19/2022,,1,Upper Bay A,1-CSP,Colt State Park pier,41.672678,-71.307543,High,,0,,41.672726,-71.305945,41.672678,-71.307543
93,4/19/2022,,1,Upper Bay B,1-RockyPt,Rocky Point pier,41.689463,-71.364701,High,,0,,41.689872,-71.36525529,41.689463,-71.364701
95,4/19/2022,,16,Providence River,16-RockI,Prov River rock island,41.749778,-71.380194,High,,0,,41.749786,-71.380489,41.749778,-71.380194
96,5/3/2022,800,7,West Passage,7-South Ferry jetty,end of rock jetty at South Ferry Road,41.49284,-71.420396,Flood,53,0,,41.492717,-71.420527,41.49284,-71.420396
97,5/3/2022,820,7,West Passage,7-WickYC,Wickford Shipyard dock,41.5705,-71.4454,Flood,56,0,,41.570691,-71.44439789,41.5705,-71.4454
98,5/3/2022,845,8,Greenwich Bay,8-Chepi,S side Chepiwanoxet,41.67236,-71.441734,Flood,54,0,,41.672881,-71.441734,41.67236,-71.441734
99,6/27/2022,845,10,Pt. Judith Pond,10PJ-4,Jerusalem State Pier,41.38321,-71.51749,Flood,67.1,0,,41.383270,-71.51807571,41.38321,-71.51749
100,6/27/2022,900,10,Potter Pond,10PP-3,Channel between Potters and Point Judith Ponds,41.38562,-71.52524,Flood,67.5,0,,41.358360,-71.64043,41.38562,-71.52524
101,6/27/2022,1000,11QW,Winnapaug,11W-1,Weekapaug Breachway,41.32839,-71.76269,High,,0,,41.328454,-71.76232114,41.32391,-71.76341
102,6/27/2022,1300,11QW,Quonnie/Winnie,11Q-4,Quonochontaug Pond at northwest entrance to breachway,41.33664,-71.72261,Ebb,68.5,0,,41.336576,-71.7220958,41.33664,-71.72261
103,6/27/2022,1330,11NG,Ninigret Pond,11N-1,Ninigret Pond entrance channel,41.35445,-71.63838,Ebb,69.4,0,,41.358360,-71.64043,41.35445,-71.63838
